name,size
Savage,1
Walter Sir Scott,1
MacGowan,1
George A. (George Alexander) Sir Drummond,1
Erskine,1
Lillo,1
Montgomery,1
Phillips,1
Tibullus,1
Gravelot,1
B. (Benjamin) Collins,1
Cooper,2
Lilly,1
Porter,2
Mary Isabella Manners, Duchess of Rutland,1
Giffard,3
Addison,6
Cowley,1
Mary Ann Watts Hughes,1
R. (Robert) Baldwin,1
Hookham,2
W. R. (William Rufus) Chetwood,1
Rosini,1
Akenside,1
Fontenelle,1
French,1
Sir H. Wotton,1
Poems,1
Harris,1
Flint,1
Hubert,2
Anonymous,2
George Alexander Stevens,1
W. R. Chetwood,1
Fielding and Walker (Firm),1
Psalmanazar,1
---------,1
George Granville Baron Lansdowne,1
Wordsworth,1
OBrien,1
Rogers,2
Dobb,1
Robert Burton Burton,1
J. K. Messersmith,1
R. (Robert), Baldwin,2
Dante,1
Dryden,1
Baillie,1
Roberts,1
Hosea,2
Anon,3
Fitzou,1
Booker,2
Porteous,1
Jane W. Grier,1
Lever,1
Tooke,1
Johnstone,2
Baylis,2
Ware,1
Moore,2
Bentley,1
Walpole,1
Tacitus,1
Newton,2
Gun-dy,1
Guarini,1
Richard R. Lansing,1
Juvenalis,1
Frederick J. Goodwin,1
Chompr,1
Charles Watson marquis of Rockingham Wentworth,1
Loudon,1
Allen,1
Paul,1
Lowndes,2
George,1
Cotter,2
Philips,1
Corbett,1
Burgess,1
Woodyer,1
Morse,1
William Legge Earl of Dartmouth,2
Kearsley,1
Holdsworth,1
Newbery,2
Grindrod,1
Spenser,1
Wilkie,1
Shakespeare,42
Titus Lucretius Carus,1
Master of Arts W.R,1
Collins,2
Francis,1
Smollett,1
Crabbe,1
Galignani,1
Lea,1
Woodman,1
King of Great Britain George IV,1
Boyd,1
Coleridge,1
LEpine,1
Petrarch,1
Ossian,1
Drummond,1
Freeman,1
Bacon,1
Irenaeus,1
Sam Slick of Slickville,1
Hamilton,1
DAuvergne,1
Cook,1
Isaiah,1
Swift,2
Phaedrus,1
Syrus,1
Gray,3
Watts,3
Miss Susana Coke,1
Harrison,6
Johnson,3
Dodd,1
Jean-Charles-Leonard Simonde de Sismondi,1
T. C. Hansard,1
Constable,1
Irish Eloquence Niles Weekly Register,1
Chapman,1
Prior,6
Tompson,1
Green,1
Francis Russell, Duke of Bedford,1
Hue and Cry after Christmas,1
Pritt,1
Lunux,1
Saunderson,1
Cawt,1
Howson,1
Fowke,1
Taylor,3
Dean,1
Gay,4
P. C. Lewis,1
Leibniz,1
Juvnal,1
Owen,1
Blanchard,2
Stanhope,1
Thomson,5
Charles Brockden Brown,1
Burton,3
T. (Thomas) Cadell,1
Middleton,2
Joseph P. (Joseph Parker) Norris,1
William S. Young,1
Home,2
Cowper,4
Palmer,1
Lyttelton,1
A. K. Newman,1
Clarke,1
Cadell,3
Voltaire,5
Young,7
Peter Abraham de Hondt,1
Bartlett,2
Bourne,1
Boileau,1
Coventry,1
Marco Valerio Marziale,1
Michel de Montaigne,1
George Lyttelton Baron Lyttelton,1
Gidley,1
Merryweather,1
Sir Walter Scott,1
Edgeworth,1
Rousseau,5
Elihu,1
Lucian,1
Metcalf,1
Thrush,1
Novels,1
Byrne,1
Jamieson,1
Herrick,1
Jun,1
Pliny the Elder,1
Sebastian,2
Fell,1
Erasmus,1
Antoine Leonard Thomas,1
Rowley,1
Richard Jones Esq,1
Johanne,1
Pedro Calderon de la Barca,2
Dodsley,6
Lane,6
Cupidon,1
Epigraph likely written by the author,1
Seneca,2
Ovid,8
Scriblerus,1
Tervoe,1
Jean de La Bruyre,1
Horace,39
Woodfall,1
Havard,1
R. C. Lester French,1
Dornin,2
Lucretius,5
Walker,1
Philip Dormer Stanhope, Earl of Chesterfield,1
Bew,1
Gordon,1
Burns,1
Brown,2
Pope,25
Bell,1
Corneille,1
Rawlinson,1
Steele,1
Byron,1
Gifford,1
Martial,3
Pascal,1
Johann Amos Comenius,1
Simonides,1
Preece,1
Miller,2
Campbell,1
Gosnell,1
Hannay,1
Congreve,1
Paul the Apostle,1
Jonson,2
Swords,2
Adlard,1
John Russell Duke of Bedford,1
Beattie,1
Stower,1
Price,1
Stphanie Flicit, comtesse de Genlis,2
William Hill Brown,1
Virgil,20
Hor,1
Rowe,2
Ballantyne,1
Rabelais,1
D. of Buckingham Sheffiled,1
Darling,1
Chandler,1
Davies,1
Nugent,1
Anne Emily Garnier Newdigate-Newdegate,1
Guillaume Amfrye de Chaulieu,1
Pickmere,1
Grainger,1
Ennius,1
Louisa of Savoy,1
Juvenal,8
Murphy,1
Lord Henry Home Kames,1
Conrfort,1
Francois de Salignac de La Mothe- Fenelon,1
Pratt,1
J.-B. P. de Moliere,1
Eliza Lee Cabot Follen,1
Ticknor,1
T. Hookham (Firm),1
Dionysius of Heraclea,1
Volusenus,1
Mitchell,1
Phorson,1
Milton,9
Lydia Maria Child,1
Shenstone,1
Otway,3
Louis Du Guernier,1
Gottfried Wilhelm Leibniz,1
Alighieri,2
Defoe,2
Cicero,6
Massinger,1
Robson,1
Anthony Ashley Cooper, Earl of Shaftesbury,1
Sismondi,1
Glendinning,1
Baldwin,1
Waller,2
Countess Elizabeth Messerati,1
Lucius Annaeus Seneca,2
Page,1
John F. (John Fanning) Watson,1
Marlowe,1
Dill,3
Churchill,1
Essex Henry Bond,1
Henry H. Bonnell,2
Donne,1
Spottiswoode,2
Lewis,1
George F. (George Folliet) Hopkins,1
Crukshank,1
