id	title	author	date	epigraph_author	d	4	5
260702	"Secret histories, novels, and poems. Written by Mrs. Eliza Haywood. Vol. IV. Containing, I. The rash resolve: or, the untimely discovery. A novel. II. The masqueraders: or, fatal curiosity; being the secret history of a late amour. III. Lasselia: or, the self-abandon'd. A novel. IV. The force of nature: or, the lucky disappointment. A novel. The fourth edition."	"Haywood, Eliza Fowler"	1746	"['Congreve, William,']"	['1670-1729']	['Author (epigraph)']	['Authorized']
260702	"Secret histories, novels, and poems. Written by Mrs. Eliza Haywood. Vol. IV. Containing, I. The rash resolve: or, the untimely discovery. A novel. II. The masqueraders: or, fatal curiosity; being the secret history of a late amour. III. Lasselia: or, the self-abandon'd. A novel. IV. The force of nature: or, the lucky disappointment. A novel. The fourth edition."	"Haywood, Eliza Fowler"	1746	"['Stanley, Col.']"		['Author (epigraph)']	['Unauthorized']
260706	"The history of Tom Jones, a foundling. In six volumes. By Henry Fielding, Esq;"	"Fielding, Henry"	1749	['Horace']		['Author (epigraph)']	
260762	"The refusal. By the author of the ""Tale of the times,"" ""Infidel father,"" &c. Vol. I."	West	1810	"['Shakespeare, William,']"	['1564-1616']	['Author (epigraph)']	['Authorized']
260818	"The adultress; or, anecdotes of two noble families. A tale. In four volumes. By an english-woman. Vol. I."		1810	"['Tobin, John']"	['1770-1804']	['Author (epigraph)']	['Authorized']
260867	"Memoirs of an unfortunate young nobleman, return'd from a thirteen years slavery in America, where he had been sent by the wicked contrivances of his cruel uncle. A story founded on truth and address'd equally to the head and heart."	"Annesley, James"	1743	"['Shakespeare, William,']"	['1564-1616']	['Author (epigraph)']	['Authorized']
260875	"The British novelists; with an essay; and prefaces, biographical and critical. By Mrs. Barbauld. Vol. XXIII."	"Coventry, Francis"	1810	['Virg. En']		['Author (epigraph)']	['Unauthorized']
260875	"The British novelists; with an essay; and prefaces, biographical and critical. By Mrs. Barbauld. Vol. XXIII."	"Coventry, Francis"	1810	['Hor.']		['Author (epigraph)']	['Unauthorized']
260879	"The British novelists; with an essay; and prefaces, biographical and critical. By Mrs. Barbauld. Vol. XXVIII."	Inchbald	1810	"['Burke, Edmund,']"	['1729-1797']	['Author (epigraph)']	['Authorized']
261003	"Memoirs of an unfortunate young nobleman, return'd from a thirteen years slavery in America, where he had been sent by the wicked contrivances of his cruel uncle. A story founded on truth and address'd equally to the head and heart."		1743	"['Shakespeare, William,']"	['1564-1616']	['Author (epigraph)']	['Authorized']
261036	Adelaide. A new and original novel. By a lady of Philadelphia. [Epigraph.] In two volumes. Vol. I.	Botsford	1816	"['Metastasio, Pietro']"	['1698-1782']	['Author (epigraph)']	['Authorized']
261036	Adelaide. A new and original novel. By a lady of Philadelphia. [Epigraph.] In two volumes. Vol. I.	Botsford	1816	['Lee']		['Author (epigraph)']	['Unauthorized']
276073	"Miscellaneous works, comical & diverting: by T.R.D.J.S.D.O.P.I.I. In two parts. I. The tale of a tub; with the fragment, & and the battel of the books; with c considerable additions, explanatory notes, never before printed. II. Miscellanies in prose and verse, by the supposed author of the first part."	"Swift, Jonathan"	1720	"['Lucretius Carus, Titus']"		['Author (epigraph)']	['Authorized']
276073	"Miscellaneous works, comical & diverting: by T.R.D.J.S.D.O.P.I.I. In two parts. I. The tale of a tub; with the fragment, & and the battel of the books; with c considerable additions, explanatory notes, never before printed. II. Miscellanies in prose and verse, by the supposed author of the first part."	"Swift, Jonathan"	1720	['Irenaeus']		['Author (epigraph)']	['Unauthorized']
276113	"The spiritual Quixote: or, the summer's ramble of Mr. Geoffry Wildgoose. A comic romance. Vol. I."	"Graves, Richard"	1783	"['Young, Edward']"	['1683-1765']	['Author (epigraph)']	['Authorized']
276113	"The spiritual Quixote: or, the summer's ramble of Mr. Geoffry Wildgoose. A comic romance. Vol. I."	"Graves, Richard"	1783	['Ovid']		['Author (epigraph)']	['Authorized']
276113	"The spiritual Quixote: or, the summer's ramble of Mr. Geoffry Wildgoose. A comic romance. Vol. I."	"Graves, Richard"	1783	['Juvenal']		['Author (epigraph)']	['Authorized']
