id	idAuthor	target	idDate	targetDate
The young widow	William Hayley	John Robinson	1789	5000
The young widow	William Hayley	John Robinson	1789	5000
The life of Frederick, Baron Trenck	Friedrich Trenck	Essex Henry Bond	1788	5000
Tales of the castle	Stephanie Felicite Genlis	Pierre Chompr	1785	1760
The stage-coach. Containing the character	Smythies	W. Phorson	1789	5000
The exiles	Clara Reeve	Pritt	1788	5000
The exiles	Clara Reeve	Horace	1788	-8
The exiles	Clara Reeve	Horace	1788	-8
The man of bene	null	Har. Saunderson	1789	5000
Juvenile indiscretions	Bennett	William Lane	1786	5000
Camilla	null	Alexander Pope	1788	1744
The Recess	Sophia Lee	Thomas Cadell	1787	1616
The recess	Sophia Lee	William Shakespeare	1787	1616
Retribution	Anna Maria Mackenzie	Alexander Pope	1788	1744
Belinda, or, the fair fugitive	C----	George Lyttelton	1789	1773
The son of Ethelwolf	Anne Fuller	Seneca	1789	5000
The son of Ethelwolf	Anne Fuller	Seneca	1789	5000
Eugenius	Richard Graves	Virgil	1786	-19
Oswald castle	A Lady	Dornin	1789	1469
Orlando and Seraphina	Nicholson	William Lane	1787	-8
The solicitudes of absence. A genuine tale	William Renwick	Mary Isabella Manners, Duchess of Rutland	1788	5000
Death's a friend	Author of the Bastard	Porteous.	1788	5000
Agnes De-Courci	Bennett	Bernard Dornin	1789	5000
Memoirs of Lydia Tongue-pad	null	M. Thrush	1760	5000
The story of St. Alb-ns ghost	William Wagstaffe	Virgil	1712	-19
The pioneers	James Fenimore Cooper	James Dill	1823	5000
The pioneers	James Fenimore Cooper	James Dill	1823	5000
The whole comical works of Monsr. Scarron	Scarron	Benjamin Tooke	1700	5000
The history of John Juniper, Esq	Charles Johnstone	B. Rowley	1781	5000
The adventures of a hackney coach	null	David Morse	1781	5000
The adventures of a hackney coach	null	William Shakespeare	1781	1616
The man of the world	Henry Mackenzie	Anonymous.	1783	5000
Maria	George Monck Berkeley	Alexander Pope	1784	1744
The History of Eliza Warwick. In two	null	William Shakespeare	1778	1616
The works of Henry Fielding, esq	Henry Fielding	Horace	1784	-8
The works of Henry Fielding, esq	Henry Fielding	French	1784	5000
Caroline of Lichtfield	Isabelle de Montolieu	Voltaire	1786	1778
Caroline of Lichtfield	Isabelle de Montolieu	Voltaire	1786	1778
The gamesters	Anna Maria Mackenzie	Robert Burton	1786	1640
The errors of innocence, in two	Harriet Lee	Moore	1786	1535
The confessions of a coquet	null	Cupidon	1785	5000
Memoirs and adventures of a flea	null	William Shakespeare	1785	1616
Novelettes moral and sentimental partly original	T. Potter	William Shakespeare	1785	1616
The letters of Charlotte	William James	John Milton	1786	1674
A father's instructions	Thomas Percival	John Gay	1800	1732
Precaution	James Fenimore Cooper	Edward Young	1820	1765
Bracebridge hall	Washington Irving	Master of Arts W.R.	1822	5000
Love and madness. A story too true	Herbert Croft	Edward Young	1780	1765
The interesting narrative of the life of	Olaudah Equiano	Isaiah	1792	5000
The wilderness	James M\Henry	Thomas Campbell	1823	5000
The adventures of Anthony Varnish, or	Charles Johnstone	William Lane	1786	5000
