ident	id	idAuthor	target	idDate	targetDate	gender	totalMale	totalFemale	epMale	epFemale	percentMale	percentFemale
102829	The life of Frederick, Baron Trenck	Friedrich Trenck	Virgil	1788	-19	Male	495	304	185	110	50.8085644593	49.1914355407
105725-1	The exiles	Clara Reeve	Horace	1788	-8	Female
105725-2	The exiles	Clara Reeve	Horace	1788	-8	Female
105725-3	The exiles	Clara Reeve	Horace	1788	-8	Female
105802	The man of benevolence	null	Alexander Pope	1789	1744	Male
105991	Juvenile indiscretions	Bennett	Alexander Pope	1786	1744	Female
105995	Camilla	null	Alexander Pope	1788	1744	Female
106014-1	The Recess	Sophia Lee	William Shakespeare	1787	1616	Female
106014-2	The recess	Sophia Lee	William Shakespeare	1787	1616	Female
106552	Belinda	C----	George Lyttelton	1789	1773	Female
106698	The son of Ethelwolf	Anne Fuller	Seneca	1789	65	Female
107503	The son of Ethelwolf	Anne Fuller	Seneca	1789	65	Female
107682	Eugenius	Richard Graves	Ovid	1786	17	Male
107688	Oswald castle	A Lady	William Shakespeare	1789	1616	Female
107701	Orlando and Seraphina	Nicholson	Quintus Horatius Flaccus	1787	-8	Male
107708	The solicitudes of absence	William Renwick	Horace	1788	8	Male
107728	Agnes De-Courci	Bennett	Paul Scarron	1789	1660	Female
1361816	The pioneers	James Fenimore Cooper	James Kirke Paulding	1823	5000	Male
1532730	The whole comical works of Monsr. Scarron	Scarron	Quintus Horatius Flaccus	1700	-8	Male
157778	The man of the world	Henry Mackenzie	Anonymous	1783	5000	Male
158810	Maria	George Monck Berkeley	Alexander Pope	1784	1744	Male
158817	The History of Eliza Warwick	null	William Shakespeare	1778	1616	Female
161049-2	The works of Henry Fielding, esq	Henry Fielding	French	1784	5000	Male
161798	Caroline of Lichtfield	Isabelle de Montolieu	Voltaire	1786	1778	Male
161806	Caroline of Lichtfield	Isabelle de Montolieu	Voltaire	1786	1778	Male
162466	The gamesters	Anna Maria Mackenzie	John Dryden	1786	1700	Female
162471	The errors of innocence	Harriet Lee	William Shakespeare	1786	1616	Female
162472	The confessions of a coquet	null	Cupidon	1785	5000	Male
162682	Novelettes moral and sentimental partly original	T. Potter	William Shakespeare	1785	1616	Female
1720878	A fathers instructions	Thomas Percival	John Gay	1800	1732	Male
1724557	Precaution	James Fenimore Cooper	Edward Young	1820	1765	Male
1740351	Bracebridge hall	Washington Irving	Master of Arts W.R	1822	5000	Male
1752858	Narrative of the life of Olaudah Equiano	Olaudah Equiano	Isaiah	1792	5000	Male
1783632	The wilderness	James M\Henry	MCarrocher	1823	5000	Male
