ident	id	idAuthor	target	idDate	targetDate
102798-1	The young widow	William Hayley	Francesco Petrarca	1789	1374
102798-2	The young widow	William Hayley	Francesco Petrarca	1789	1374
102829	The life of Frederick, Baron Trenck	Friedrich Trenck	Virgil	1788	-19
103048	Tales of the castle	Stephanie Felicite Genlis	Ludovico Ariosto	1785	1533
104121	The stage-coach	Smythies	Matthew Prior	1789	1721
105725-1	The exiles	Clara Reeve	Horace	1788	-8
105725-2	The exiles	Clara Reeve	Horace	1788	-8
105725-3	The exiles	Clara Reeve	Horace	1788	-8
105802	The man of benevolence	null	Alexander Pope	1789	1744
105991	Juvenile indiscretions	Bennett	Alexander Pope	1786	1744
105995	Camilla	null	Alexander Pope	1788	1744
106014-1	The Recess	Sophia Lee	William Shakespeare	1787	1616
106014-2	The recess	Sophia Lee	William Shakespeare	1787	1616
106016	Retribution	Anna Maria Mackenzie	Alexander Pope	1788	1744
106552	Belinda	C----	George Lyttelton	1789	1773
106698	The son of Ethelwolf	Anne Fuller	Seneca	1789	65
107503	The son of Ethelwolf	Anne Fuller	Seneca	1789	65
107682	Eugenius	Richard Graves	Ovid	1786	17
107688	Oswald castle	A Lady	William Shakespeare	1789	1616
107701	Orlando and Seraphina	Nicholson	Quintus Horatius Flaccus	1787	-8
107708	The solicitudes of absence	William Renwick	Horace	1788	8
107724	Deaths a friend	Author of the Bastard	Porteous	1788	5000
107728	Agnes De-Courci	Bennett	Paul Scarron	1789	1660
1170822	Memoirs of Lydia Tongue-pad	null	Joseph Addison	1760	1719
1361026	The story of St. Alb-ns ghost	William Wagstaffe	Virgil	1712	-19
1361816	The pioneers	James Fenimore Cooper	James Kirke Paulding	1823	5000
1361817	The pioneers	James Fenimore Cooper	James Kirke Paulding	1823	5000
1532730	The whole comical works of Monsr. Scarron	Scarron	Quintus Horatius Flaccus	1700	-8
156255	The history of John Juniper, Esq	Charles Johnstone	Juvenal	1781	130
157471	The adventures of a hackney coach	null	William Shakespeare	1781	1616
157475	The adventures of a hackney coach	null	William Shakespeare	1781	1616
157778	The man of the world	Henry Mackenzie	Anonymous	1783	5000
158810	Maria	George Monck Berkeley	Alexander Pope	1784	1744
158817	The History of Eliza Warwick	null	William Shakespeare	1778	1616
161049-1	The works of Henry Fielding, esq	Henry Fielding	Horace	1784	-8
161049-2	The works of Henry Fielding, esq	Henry Fielding	French	1784	5000
161798	Caroline of Lichtfield	Isabelle de Montolieu	Voltaire	1786	1778
161806	Caroline of Lichtfield	Isabelle de Montolieu	Voltaire	1786	1778
162466	The gamesters	Anna Maria Mackenzie	John Dryden	1786	1700
162471	The errors of innocence	Harriet Lee	William Shakespeare	1786	1616
162472	The confessions of a coquet	null	Cupidon	1785	5000
162474	Memoirs and adventures of a flea	null	William Shakespeare	1785	1616
162682	Novelettes moral and sentimental partly original	T. Potter	William Shakespeare	1785	1616
163856	The letters of Charlotte	William James	John Milton	1786	1674
1720878	A fathers instructions	Thomas Percival	John Gay	1800	1732
1724557	Precaution	James Fenimore Cooper	Edward Young	1820	1765
1740351	Bracebridge hall	Washington Irving	Master of Arts W.R	1822	5000
1751561	Love and madness	Herbert Croft	Aphra Behn	1780	1689
1752858	Narrative of the life of Olaudah Equiano	Olaudah Equiano	Isaiah	1792	5000
1783632	The wilderness	James M\Henry	MCarrocher	1823	5000
1798766	The adventures of Anthony Varnish	Charles Johnstone	Titus Maccius Plautus	1786	184
1799123	Melissa and Marcia	Elizabeth Hervey	Mark Akenside	1788	1770
1799320	Another traveller! or	Samuel Paterson	Michel de Montaigne	1767	1592
1799321	The castles of Athlin and Dunbayne	Ann Ward Radcliffe	James Cawthorn	1789	1761
1800288	The amicable Quixote	null	Nicols Boileau-Despraux	1788	1711
1800399	The life and adventures of Anthony Leger	null	John Dryden	1789	1700
1801660	The lovers week	M. H	John Dryden	1718	1700
1801799	The surprize	Eliza Fowler Haywood	John Dryden	1724	1700
1802363	The secret history of the prince of the Nazarenes	null	Johann Amos Comenius	1719	1670
1808057	Secret histories, novels, and poems	Eliza Fowler Haywood	George Granville	1725	5000
1808071	Secret histories, novels, and poems	Eliza Fowler Haywood	Edmund Waller	1722	1687
1808112	Secret histories, novels, and poems	Eliza Fowler Haywood	Edmund Waller	1723	1687
1812432	Love-letters from King Henry VIII	Henry	Ovid	1714	17
1813680-1	The prude	Young lady	George Granville Baron Lansdowne	1724	5000
1813680-2	The prude	Young lady	George Granville Baron Lansdowne	1724	5000
1816799	The platonic lovers	Martha Fowke	Martha Fowke	1732	5000
1817470	Letters from a Persian in England	George Lyttelton Lyttelton	Titus Lucretius Carus	1735	-55
181766	The adventures of Arthur OBradley	John Potter	Virgil	1769	19
1833008	Friendship in death	Elizabeth Singer Rowe	Virgil	1728	-19
187817-1	Friendship in death	Herbert Croft	William Shakespeare	1786	1616
187817-2	Love and Madness	Herbert Croft	William Shakespeare	1786	1616
189377	Matrimony	John Shebbeare	Ovid	1766	18
191049	The penitents in the Magdalen-House	null	William Shakespeare	1760	1616
191423-1	The auction	null	Elijah Fenton	1760	1730
191423-2	The auction	null	Elijah Fenton	1760	1730
193273	The adventures of a black coat	null	Horace	1760	-8
193355	Chrysal	Charles Johnstone	William Shakespeare	1767	1616
194294	The Adventures of Sylvia Hughes	null	George Lillo	1761	1739
194528	Travels through France and Italy	Tobias George Smollett	Quintus Ennius	1766	169
194769	The wanderer	null	Anon	1766	5000
194937	The peregrinations of Jeremiah Grant, Esq	null	Publius Cornelius Tacitus	1763	120
195421	The Life and opinions of Bertram Montfichet	null	Alexander Pope	1761	1744
195787	The Parasite	null	Terence	1765	159
196219-1	The history of Emily Montague	Frances Brooke	Quintus Horatius Flaccus	1769	-8
196219-2	The history of Emily Montague	Frances Brooke	Quintus Horatius Flaccus	1769	-8
196600-1	The reverie	Charles Johnstone	John Milton	1763	1674
196600-2	The reverie	Charles Johnstone	John Milton	1763	1674
196603	The discovery	Woodfin	Matthew Prior	1764	1721
196603-2	The discovery	Woodfin	Matthew Prior	1764	1721
196684	The mistakes of the heart	Pierre Henri Treyssac de Vergy	Mathew Prior	1769	1721
196691	Letters between Henry and Frances	Richard Griffith	Virgil	1767	-19
196868	The History of Major Bromley and Miss Cliffen	null	William Shakespeare	1767	1616
197400	The lovers	Pierre Henri Treyssac de Vergy	Alexander Pope	1769	1744
197903	The correspondence of Theodosius and Constantia	John Langhorne	Guillaume Amfrye de Chaulieu	1765	5000
198171	The faithful fugitives	null	"Richard, Sir Steele"	1766	1729
1986497	Maria	Edward Kimber	Joseph Addison	1765	1719
198847	Two novels. In letters	Richard Griffith	Ovid	1769	18
198860	Belisarius	Jean Franois Marmontel	Seneca the Younger	1767	65
199118	Daphnis	Salomon Gessner	Virgil	1768	-19
199451	Callistus	Thomas Mulso	Cicero	1769	-43
200185	The character and manners of the French	null	"Bishop of Hippo Augustine"	1769	5000
245120-1	The whole comical works of Mon.Scarron	Scarron	Martial	1712	104
245120-2	The whole comical works of Mon. Scarron	Scarron	Martial	1712	104
253712-1	Memoirs of the life of Count de Grammont	Anthony Hamilton	Charles de Marguetel de Saint-Denis Saint-Evremond	1714	1703
253712-2	Memoirs of the life of Count de Grammont	Anthony Hamilton	Charles de Marguetel de Saint-Denis Saint-Evremond	1714	1703
253869	The entertaining novels of Mrs. Jane Barker	Jane Barker	Horace	1719	-8
253936	The life and character of Jane Shore	null	Juvenal	1714	130
255966	The mercenary lover	Eliza Fowler Haywood	Juvnal	1726	5000
2591056	Gerania	Joshua Barnes	Virgil	1675	-19
260498	Rosanne	Laetitia Matilda Hawkins	Cowper	1814	1800
260500	Royal adventures	Roger Boyle Orrery	D. of Buckingham Sheffiled	1750	5000
260666	The modern Griselda	Maria Edgeworth	Pope	1810	5000
260667	The modern Griselda	Maria Edgeworth	Pope	1810	5000
260669	The knight of St. John	Anna Maria Porter	Sismondi	1817	5000
260671	The knight of St. John	Anna Maria Porter	Careys Dante	1817	5000
260682	The itinerant	S. W Ryley	Shakespeare	1817	1616
260685	Coelebs in search of a wife	Hannah More	Milton	1813	1674
260693	Leonora	null	Anon	1745	5000
260695	The silphs resentment	null	Otway	1742	1685
260702	Secret histories, novels, and poems	Eliza Fowler Haywood	"William, Congreve"	1746	1729
260706	The history of Tom Jones, a foundling	Henry Fielding	Horace	1749	-8
260710	Dalinda	null	Cowley	1749	1667
260729	The adventures of Ferdinand Count Fathom	Tobias George Smollett	Juvenalis	1817	5000
260732	The Brownie of Bodsbeck	James Hogg	Shakespeare	1818	1616
260735	Self-control	Mary Brunton	Cowper	1811	1800
260736	The alderman and the peer	Medora Gordon Byron	Alexander Pope	1810	1744
260737	The Englishman in Paris	null	Boileau	1819	1711
260740	Discipline	Mary Brunton	Joanna Baillie	1814	5000
260747	Alicia de Lacy	West	Gray	1814	5000
260757	Elfrida, heiress of Belgrove	Emma Parker	Alexander Pope	1811	1744
260762	The refusal	West	"William, Shakespeare"	1810	1616
260772	The lake of Killarney	Anna Maria Porter	John Milton	1810	1674
260776	Anne of Brittanny	null	James Thomson	1810	1748
260779	Bath and London	null	Havard	1811	5000
260786	Frankenstein	Mary Wollstonecraft Shelley	John Milton	1818	1674
260796	The Works of Henry Fielding, Esq	Henry Fielding	Juvenal	1813	130
260799	The Scottish chiefs	Jane Porter	Ossian	1811	1796
260801	Christmas tales	null	Sam Slick of Slickville	1811	5000
260804	Tales of my landlord	Walter Scott	Miguel de Cervantes	1816	1616
260818	The adultress	null	John Tobin	1810	5000
260833	Rob Roy	Walter Scott	Don Sebastian	1818	5000
260834	Rob Roy	Walter Scott	Don Sebastian	1818	5000
260838	Traits of nature	Sarah Harriet Burney	Martinus Scriblerus	1812	1744
260843	Traits of nature	Regina Maria Roche	Collins	1815	5000
260850	Traits of nature	Charlotte Campbell Bury	"Stphanie Flicit, comtesse de Genlis"	1812	12
260852	Six Weeks at Longs	Eaton Stannard Barrett	Virgil	1817	-19
260860	Things	Frances Jacson	Milton	1812	1674
260861	The bachelor and the married man	Ross	Harris	1817	5000
260863	Varieties in woman	Jacob Bigelow	Robert Burton Burton	1819	5000
260865	The adventures of Roderick Random	Tobias George Smollett	Horace	1748	-8
260867	Memoirs of an unfortunate young nobleman	James Annesley	"William, Shakespeare"	1743	1616
260874	The old English Baron	Clara Reeve	Horace	1810	-8
260875	The British novelists	Francis Coventry	Virg. En	1810	5000
260879	The British novelists	Inchbald	"Edmund, Burke"	1810	1797
260887	The British novelists	Ann Ward Radcliffe	Shakespeare	1810	1616
260900	A year and a day	Frances Brooke	Tibullus	1818	19
260907	The cottagers of Glenburnie	Elizabeth Hamilton	Thomas Gray	1812	1771
260912	Lionel	null	Coleridge	1818	5000
260919	The Balance of Comfort	Ross	Pope	1817	5000
260921	The adventures of Roderick Random	Tobias George Smollett	Horace	1748	-8
260923	The true anti-Pamela	null	Otway	1742	1685
260931	An antidote to the miseries of human life	Harriet Corp	Thomson	1814	1778
260943	Clan-Albin	C. I Johnstone	Thomson	1815	1778
260949	The fast of St. Magdalen	Anna Maria Porter	Dante Alighieri	1819	1321
260958	Forman	Abel Moysey	Shakespeare	1819	1616
260959	The castles of Athlin and Dunbayne	Ann Ward Radcliffe	Cawt	1811	5000
260964	Human nature	Cordelia Cordova	"Stphanie Flicit, comtesse de Genlis"	1816	12
260973	Cava of Toledo	Augusta Amelia Stuart	Thomas Gray	1812	1771
261003	Memoirs of an unfortunate young nobleman	null	"William, Shakespeare"	1743	1616
261013	ODonnel	Morgan	Shakespeare	1814	1616
261036	Adelaide	Botsford	Pietro Metastasio	1816	1782
261044	Keep cool	John Finch	Richard Savage	1812	5000
261063	The Thatchers Wife	Legh Richmond	John Fawcett	1819	5000
261066	Sancho	J. W Cunningham	Horace	1817	-8
261078	Sentimental anecdotes	Isabelle de Montolieu	Alexander Pope	1812	1744
261083	Melincourt	Thomas Love Peacock	Jean-Jacques Rousseau	1817	1778
261087	The memoirs of the Baron du Tan	Gomez	Pope	1744	5000
261095	True stories, from ancient history	Maria Elizabeth Budden	Dionysius of Heraclea	1819	5000
261105	Dinarbas	Ellis Cornelia Knight	Horace	1813	-8
266593	Secret memoirs of the late Mr. Duncan Campbel	Duncan Campbell	John Dryden	1732	1700
267308	The happy-unfortunate	Elizabeth Boyd	Mrs. (Mary de la Rivire) Manley	1732	1724
268225	The happy-unfortunate	Lydia Grainger	John Gay	1733	1732
276072	Modern chivalry	H. H Brackenridge	Horace	1819	-8
276073	Miscellaneous works, comical & diverting	Jonathan Swift	Lucretius	1720	-55
276075	Midnight weddings	Mary Meeke	Robert Nugent	1814	1788
276082	Letters from Altamont in the capital	Charles Jenner	Mons. Pascal	1767	5000
276083	Letters from Altamont in the capital	null	Horace	1778	-8
276097	Christabelle, the maid of Rouen	Mary Ann Hanway	Pope	1814	5000
276113	The spiritual Quixote	Richard Graves	Edward Young	1783	1765
276114	The recluse of Norway	Anna Maria Porter	Montgomery	1814	5000
276116	The nominal husband	null	"William, Shakespeare"	1750	1616
276122	The life and adventures of Joe Thompson	Edward Kimber	Pope	1750	5000
276124	Life and adventures of Duncan Campbell	William Bond	Cicero	1720	-43
276126	Life and adventures of Duncan Campbell	William Bond	Cicero	1720	-43
276127	The history of Sir William Harrington	null	William Shenstone	1772	1763
276128	The history of Eliza Warwick	null	William Shakespeare	1778	1616
276148	Rosanne	Laetitia Matilda Hawkins	Cowper	1814	1800
276154	The honour of chivalry	Jeronimo Fernandez	Publius Ovidius Naso	1703	18
276155	Tell-tale sophas	John Battersby	Pope	1814	5000
277537	Female falshood	null	John Dryden	1722	1700
277617	Memoirs of Europe	Manley	Juvnal	1710	5000
279595	Nick of the woods	Robert Montgomery Bird	James Thomson	1837	1748
280044	Court tales	null	Nathaniel Lee	1717	1692
280894	The secret history of Arlus and Odolphus	null	Ovid	1710	18
280895	The secret history of Arlus and Odolphus	null	Ovid	1710	18
280901	The secret history of Arlus and Odolphus	null	Juvnal	1710	5000
281901	John Bulls last will and testament	John Arbuthnot	Domitius Ulpianus	1713	228
302876	The vicar of Wakefield	Oliver Goldsmith	Robert Burton	1786	1640
3063545	A second tale of a tub	Thomas Burnet	Franois Rabelais	1715	1553
3084387	A tale of a tub	Jonathan Swift	"Bishop of Lyon Irenaeus"	1760	19
3084453	A tale of a tub	Jonathan Swift	"Bishop of Lyon Irenaeus"	1769	19
311239	The whole comical works of Monsr. Scarron	Scarron	Martial	1703	104
3387037	Chrysal	Charles Johnstone	William Shakespeare	1767	1616
340846	The adventures of a bank-note	Thomas Bridges	Virgil	1770	-19
340850	The adventures of a hackney coach	null	William Shakespeare	1781	1616
340854	The adventures of a rupee	Helenus Scott	William Shakespeare	1782	1616
340856	The adventures of a rupee	Helenus Scott	William Shakespeare	1782	1616
340910	The adventures of an East-India rupee	Helenus Scott	William Shakespeare	1783	1616
340911	The adventures of a cork-screw	null	Alexander Pope	1775	1744
341318	The adventures of Roderick Random	Tobias George Smollett	Horace	1770	-8
341334	The American wanderer	null	Virgil	1783	-19
341342	The adventures of Arthur OBradley	John Potter	Virgil	1771	-19
341344	The Birmingham counterfeit	null	Alexander Pope	1772	1744
341345	Blandford races	null	Joseph Addison	1782	1719
341351	Charles and Charlotte	Pratt	Alexander Pope	1777	1744
