id	idAuthor	target	idDate	targetDate
Rosanne	Hawkins, Laetitia Matilda	Cowper	1700	1731
Rosanne	Hawkins, Laetitia Matilda	John Dryden	1700	1731
The modern Griselda. A tale	Edgeworth, Maria	Pope	1810	1920
The knight of St. John, a romance	Porter, Anna Maria	Sismondi	1817	1773
The itinerant	Ryley, S. W	Shakespeare.	1817	1564
Coelebs in search of a wife	More, Hannah	Milton	1813	1608
Leonora	null	Anon.	1745	1888
The silph's resentment	null	Otway	1742	1652
Secret histories, novels, and poems	Haywood, Eliza Fowler	Congreve.	1746	1670
The history of Tom Jones, a foundling	Fielding, Henry	Horace	1749	1799
Dalinda	null	Cowley	1749	1618
The adventures of Ferdinand Count Fathom	Smollett, Tobias George	Juvenalis	1817	1635
The Brownie of Bodsbeck	Hogg, James	Shakespeare	1818	1564
Self-control	Brunton, Mary	Cowper	1811	1731
The alderman and the peer	Byron, Medora Gordon	Alexander Pope	1810	1688
The Englishman in Paris	null	Boileau	1819	1636
Discipline	Brunton, Mary	Joanna Baillie	1814	1762
Alicia de Lacy	West	Gray	1814	1872
Elfrida, heiress of Belgrove	Parker, Emma	Alexander Pope	1811	1688
The refusal	West	Shakespeare.	1810	1564
The lake of Killarney	Porter, Anna Maria	John Milton	1810	1608
Anne of Brittanny	null	James Thomson	1810	1700
Bath and London	null	Havard	1811	1838
Frankenstein	Shelley, Mary Wollstonecraft	John Milton	1818	1608
The Works of Henry Fielding, Esq	Fielding, Henry	Juvenal	1813	1388
The Scottish chiefs, a romance. In five	Porter, Jane	Ossian.	1811	1736
Tales of my landlord	Scott, Walter	Miguel de Cervantes	1816	1547
The adultress	null	John Tobin	1810	1891
Rob Roy	Scott, Walter	John Dryden	1818	1631
Traits of nature	Burney, Sarah Harriet	Martinus Scriblerus	1812	1688
Six Weeks at Long's	Barrett, Eaton Stannard	Virgil	1817	1448
Things	Jacson, Frances	Milton	1812	1608
The bachelor and the married man	Ross	Harris	1817	1943
The adventures of Roderick Random. In two	Smollett, Tobias George	Horace	1748	1799
Memoirs of an unfortunate young nobleman	Annesley, James	Shakespeare	1743	1564
The old English Baron. A gothic story	Reeve, Clara	Horace	1810	1799
The British novelists	Inchbald	Burke	1810	1729
The British novelists	Radcliffe, Ann Ward	Shakespeare	1810	1564
The cottagers of Glenburnie	Hamilton, Elizabeth	Thomas Gray	1812	1716
Lionel	null	Coleridge	1818	1772
The Balance of Comfort	Ross	Pope	1817	1920
The adventures of Roderick Random	Smollett, Tobias George	Horace	1748	1799
The true anti-Pamela	null	Otway	1742	1652
An antidote to the miseries of human life	Corp, Harriet	Thomson	1814	1694
Clan-Albin	Johnstone, C. I	Thomson	1815	1694
The fast of St. Magdalen, A Romance	Porter, Anna Maria	Dante Alighieri	1819	1265
Forman. A Tale. In Three	Moysey, Abel	Shakespeare	1819	1564
The castles of Athlin and Dunbayne	Radcliffe, Ann Ward	Cawt.	1811	1868
Human nature	Cordova, Cordelia	Madame de Genlis	1816	1746
Cava of Toledo	Stuart, Augusta Amelia	Thomas Gray	1812	1716
O'Donnel. A National Tale	Morgan	Shakespeare	1814	1564
The Thatcher's Wife	Richmond, Legh	John Fawcett	1819	1768
Sancho	Cunningham, J. W	Horace	1817	1799
Sentimental anecdotes	Montolieu, Isabelle de	Alexander Pope	1812	1688
Melincourt	Peacock, Thomas Love	Jean-Jacques Rousseau	1817	1712
The memoirs of the Baron du Tan	Gomez	Pope	1744	1920
Dinarbas	Knight, Ellis Cornelia	Horace	1813	1799
Modern chivalry	Brackenridge, H. H	Horace	1819	1799
Midnight weddings	Meeke, Mary	Robert Nugent	1814	1702
Christabelle, the maid of Rouen	Hanway, Mary Ann	Pope	1814	1920
The spiritual Quixote	Graves, Richard	John Hughes	1783	1950
The recluse of Norway	Porter, Anna Maria	Montgomery	1814	1887
The nominal husband	null	Shakespeare.	1750	1564
The life and adventures of Joe Thompson	Kimber, Edward	Pope	1750	1920
The history of Sir William Harrington	null	William Shenstone	1772	1714
The history of Eliza Warwick. In two	null	Shakespeare, William	1778	1564
Tell-tale sophas, an eclectic fable	Battersby, John	Pope.	1814	1920
Nick of the woods	Bird, Robert Montgomery	James Thomson	1837	1700
The adventures of a hackney coach	null	Shakespeare, William	1781	1564
The adventures of a rupee	Scott, Helenus	Lucretius	1782	1506
The adventures of an East-India rupee	Scott, Helenus	William Shakespeare	1783	1564
The adventures of a cork-screw	null	Alexander Pope	1775	1688
The adventures of Roderick Random. In two	Smollett, Tobias George	Hor.	1770	1799
The American wanderer	null	Dryden, John	1783	1631
The history of the adventures of Arthur O	Potter, John	Virgil	1771	1448
The Birmingham counterfeit	null	Alexander Pope	1772	1688
Blandford races	null	Joseph Addison	1782	1672
Charles and Charlotte. In two	Pratt	Alexander Pope	1777	1688
Colonel Orms	null	Isaac Watts	1781	1674
Columella	Graves, Richard	Horace	1779	1799
Correspondents, an original novel	null	Shakespeare, William	1776	1564
The Count de Rethel	null	Voltaire	1779	1694
The curate of Coventry	Potter, John	Virgil	1771	1448
